Food,Category,Recipe/Single_food_item,Fiber_(g),Quantity,Carbohydrate_(g),Protein_(g),Fat_(g),Calories_(kcal),Protein_(g)_nutritions,Fats_(g),Carbohydrates_(g),Starch_(g),Cholesterol_(mg),Calcium_(mg),Magnesium_(mg),Iron_(mg),Zinc_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vitamin_B6_(mg),Vitamin_B12_(mcg),"Folate,_ug",Vitamin_C_(mg),Retinol_Activity_Equivalents_(ug),Vitamin_E_(ug),total_n-6_fas_(%_of_energy),total_n-3_fas_(%_of_energy),Vitamin_B5_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Selenium_(mcg),Retinol_(mcg),Saturated_fatty_acids_(g),Mono-unsaturated_fatty_acids_(g),Poly-unsaturated_fatty_acids_(g),Free_sugars_(g)
CHOCOLATE FLAVORED MILK DRINK,Breakfast,S,0,92.0,37.32000000000001,2.46,2.94,165.2,3.6,1.5,11.7,0.3,0.0,115.0,19.0,0.62,0.5,0.03,0.17,0.1,0.03,0.38,2.0,0.0,0.0,0.0,0.0,0.0,0.222074148,53.5861572,232.910822,57.94427800000001,0.5731933880000001,3.2,26.8221346,43.0005904,61.7543332,0.724285946
CHOCOLATE ICE CREAM,Breakfast,S,,52.0,14.0,2.6,10.0,154.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.03177235199999,1.6013523006,1.0529748458000001,0.07712807019999998,0.07504621040000001,1.3625114536,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
CHOCOLATE MARIE BISCUIT,Breakfast,S,,4.0,2.8,0.3,0.4,15.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"CHOCOLATE, DARK, PLAIN",Breakfast,S,0,86.0,51.239999999999995,2.82,4.5,232.8,5.0,28.0,63.5,0.9,0.0,33.0,89.0,2.3,1.3,0.04,0.06,0.4,0.03,0.0,12.0,0.0,0.0,1.4,1.7,0.1,1.2555085364,154.576245662,312.2412356,14.2402945824,9.886868801199999,0.0,150.337804,199.2415206,375.018106,0.6475012526
"CHOCOLATE, MILK, PLAIN",Breakfast,S,0,86.0,48.239999999999995,3.8200000000000003,10.1,474.0,7.3,31.1,56.0,0.0,0.0,226.0,57.0,2.05,1.1,0.12,0.53,0.3,0.21,0.75,9.0,0.0,0.0,1.6,1.8,0.2,0.5958393824000001,84.63973275999999,301.24426798,55.387859556,38.523005348000005,3.2,26.9742312,47.09742200000001,45.4694374,1.5268772080000002
"CHOCOLATE, MILK, W/ CREAM OR CARAMEL FILLING",Breakfast,S,0,86.0,48.239999999999995,3.8200000000000003,10.1,474.0,7.3,31.1,56.0,0.0,0.0,226.0,57.0,2.05,1.1,0.12,0.53,0.3,0.21,0.33,9.0,0.0,0.0,1.6,1.8,0.2,0.5958393824000001,84.63973275999999,301.24426798,55.387859556,38.523005348000005,3.2,26.9742312,47.09742200000001,45.4694374,1.5268772080000002
"CHOCOLATE, MILK, W/ NUTS OR FRUIT",Breakfast,S,0,86.0,48.239999999999995,3.8200000000000003,10.1,474.0,7.3,31.1,56.0,0.0,0.0,226.0,57.0,2.05,1.1,0.12,0.53,0.3,0.21,0.33,9.0,0.0,0.0,1.6,1.8,0.2,0.5958393824000001,84.63973275999999,301.24426798,55.387859556,38.523005348000005,3.2,26.9742312,47.09742200000001,45.4694374,1.5268772080000002
"CLAMS, FRESH, TEMPERED, W/ COCONUT MILK",Dessert,R,1.335,106.0,38.480000000000004,4.64,10.24,421.2,11.3,9.5,4.8,3.1,43.3,66.0,23.3,5.94,1.88,0.03,0.05,3.8,0.04,4.5022588,5.8,5.6,84.0,0.1,1.4,0.7,0.8741258399999999,82.357913328,257.61111886,66.48117472,95.260168592,27.0,39.6964402,441.69474340000005,151.94381140000002,2.2600471548
CLEAR RASAM (NO VEGETABLES OR DAL),Dessert,R,2.9,92.0,37.32000000000001,2.46,2.94,165.2,1.1,1.0,2.6,1.5,0.0,57.0,26.5,1.22,0.28,0.02,0.02,0.1,0.02,0.0,4.6,1.6,3.0,0.1,6.8,0.3,0.40380339379999997,64.2693394,187.44261799999998,13.786257240000001,14.190092520000002,0.0,21.558861,184.18124160000002,84.016021,0.9692165894
COCKTAIL MIX,Breakfast,S,0,92.0,35.32000000000001,3.2600000000000002,1.54,159.2,18.8,32.9,35.1,32.8,0.0,58.0,100.0,3.8,2.5,0.38,0.1,4.3,0.54,0.0,0.0,0.0,0.0,4.7,17.4,2.8,1.3460734602,164.89620616,409.8292356,18.3294648352,9.0928181132,0.0,161.0462134,195.4788314,379.724466,0.8756785782
COCONUT CAKE,Main Dish,S,,50.0,30.0,3.0,14.0,250.0,7.296972285200001,16.996562439799998,44.163274966,19.9649454922,0.0,73.47760466999999,82.25412445600001,3.1624691246,1.2001095659999996,0.0900431242,0.1044363336,1.5849060602,0.11928794760000001,0.0012969976,28.554310874,0.62,8.5489104212,5.2386287378,4.819999999999999,0.08,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"COCONUT KERNEL, DRIED, UNSWEETENED",Breakfast,S,15.2,92.0,35.32000000000001,3.2599999999999993,1.54,159.2,7.3,63.3,8.0,0.0,0.0,32.0,97.2,3.13,1.41,0.04,0.04,0.7,0.15,0.0,24.3,0.0,0.0,6.1,1.3,0.0,1.1153895618,119.93926088200001,426.69288378,10.352263062799999,9.5337856308,0.0,80.64073859999999,35.6396518,171.80271199999999,0.8787513972
"COCONUT KERNEL, GREEN, FRESH",Breakfast,S,10.4,92.0,32.480000000000004,3.44,3.44,161.4,3.8,41.4,6.3,0.0,0.0,8.0,35.0,1.3,0.58,0.03,0.08,0.3,0.1,0.0,25.4,0.8,0.0,2.7,1.4,0.0,0.2114891982,87.39510964,219.7875,252.534349002,10.921168399999999,0.0,28.5789044,9.49147396,48.3958524,0.9650887651999998
"COCONUT KERNEL, MATURE, FRESH",Breakfast,S,10.4,92.0,32.480000000000004,3.44,3.44,161.4,3.8,41.4,6.3,0.0,0.0,8.0,35.0,1.3,0.58,0.03,0.08,0.3,0.1,0.0,25.4,0.8,0.0,2.7,1.4,0.0,0.2114891982,87.39510964,219.7875,252.534349002,10.921168399999999,0.0,28.5789044,9.49147396,48.3958524,0.9650887651999998
"COCONUT KERNEL, MATURE, FRESH, SWEETENED",Breakfast,S,4.5,86.0,46.4,3.8,5.0,229.0,2.88,35.5,47.7,21.479999999999997,0.0,15.0,50.0,1.92,1.82,0.031,0.02,0.474,0.271,0.0,8.0,0.7,0.0,0.39,0.42000000000000004,0.0,0.5781020050000001,108.621278434,205.300090388,14.227589097000001,17.8069311212,0.0,229.1313468,232.04221520000002,236.53092800000005,0.978492457
COCONUT MILK,Dessert,S,,110.0,66.0,9.98,23.36,861.0,6.034716872000001,6.438296967999999,54.008518220000006,20.850109744,17.276373292,74.39797972,15.061091611999998,1.671366926,0.6311757212,0.07177749359999999,0.03334420640000001,1.833180046,0.12039978120000001,0.045736576,16.605471956,1.3489044572,52.015542604000004,0.19186320080000002,4.4799999999999995,0.02,0.356491398,75.011893076,180.88109200000002,36.0989918638,7.2406116488,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.5510394956000001
COCONUT MILK 1ST 2ND 3RD EXTRACTIONS,Breakfast,S,,10.0,1.0,0.2,1.4,15.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
COCONUT MILK 1ST 2ND EXTRACTIONS,Breakfast,S,,10.0,1.3,0.2,1.9,20.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
COCONUT MILK 1ST EXTRACTION,Breakfast,S,,10.0,1.5,0.3,2.7,30.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
COCONUT MILK GRAVY,Dessert,R,,92.0,32.480000000000004,3.44,3.44,161.4,2.9,27.9,7.5,0.339361394,0.0,24.3,14.256007740000001,2.2,0.9,0.02,0.001,0.7,0.03,0.0,20.7,2.1,6.8,0.6966485995999999,1.2600000000000002,0.02,0.20822859459999998,47.67715946,129.92362020000002,17.690370618000003,7.311925602,0.0,23.8426356,14.44090476,31.4090774,1.0406984052
"COCONUT MILK, FRESH",Breakfast,S,0,86.0,46.4,3.8,5.0,284.4,1.1,16.9,3.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01381657,1.181587584,13.0131568,0.10973231079999998,0.036703375999999996,0.0,5.86598348,9.92655538,10.22022586,0.6068773860000001
COCONUT OIL,Breakfast,S,0,92.0,38.480000000000004,2.44,4.4399999999999995,185.4,0.0,99.1,0.0,1.08,0.0,1.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.1199999999999999,0.13999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,82.5,6.33,1.7,0.27541178
COCONUT ROTI,Breakfast,S,,100.0,49.2,6.7,6.3,284.0,5.3843307212000004,6.565710923799999,51.82753407599999,17.4100003642,8.638186646,58.97659453,19.904670262,2.4211525876,0.5736974266,0.084931871,0.0631084368,1.2614960832,0.1424878382,0.0241652856,24.387046852,1.0744522285999998,27.3566817232,0.12456033819999998,4.819999999999999,0.08,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
COCONUT SAMBAL,Breakfast,S,,50.0,6.4,2.0,13.7,157.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.03177235199999,1.6013523006,1.0529748458000001,0.07712807019999998,0.07504621040000001,1.3625114536,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
COCONUT SAMBOL,Beverage,S,,110.0,66.0,9.98,23.36,942.0,6.034716872000001,6.438296967999999,54.008518220000006,20.850109744,17.276373292,74.39797972,15.061091611999998,1.671366926,0.6311757212,0.07177749359999999,0.03334420640000001,1.833180046,0.12039978120000001,0.045736576,16.605471956,1.3489044572,52.015542604000004,0.19186320080000002,4.4799999999999995,0.02,0.356491398,75.011893076,180.88109200000002,36.0989918638,7.2406116488,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.5510394956000001
COCONUT SAMBOL,Dinner,S,,110.0,69.0,9.58,18.36,450.0,6.034716872,6.438296968,54.00851822,20.850109744,17.276373292,74.39797972,15.061091611999998,1.671366926,0.6311757212,0.0717774936,0.0333442064,1.833180046,0.12039978120000001,0.045736576,16.605471956,1.3489044572000002,52.015542604000004,0.1918632008,4.4799999999999995,0.02,0.356491398,75.011893076,180.881092,36.0989918638,7.240611648800001,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.5510394955999999
COCONUT SAMBOL,Breakfast,S,,110.0,66.0,9.98,23.36,625.0,6.034716872000001,6.438296967999999,54.008518220000006,20.850109744,17.276373292,74.39797972,15.061091611999998,1.671366926,0.6311757212,0.07177749359999999,0.03334420640000001,1.833180046,0.12039978119999999,0.045736576,16.605471956,1.3489044572,52.015542604000004,0.19186320080000002,4.4799999999999995,0.02,0.356491398,75.011893076,180.88109200000002,36.0989918638,7.2406116488,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.5510394956000001
COCONUT SAMBOL,Main Dish,S,,110.0,66.0,9.98,23.36,852.0,6.034716872000001,6.438296967999999,54.008518220000006,20.850109744,17.276373292,74.39797972,15.061091611999998,1.671366926,0.6311757212,0.07177749359999999,0.03334420640000001,1.833180046,0.12039978120000001,0.045736576,16.605471956,1.3489044572,52.015542604000004,0.19186320080000002,4.4799999999999995,0.02,0.356491398,75.011893076,180.88109200000002,36.0989918638,7.2406116488,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.5510394956000001
"COCONUT SAMBOL, W/ COCONUT OIL",Dessert,R,7.2,92.0,32.480000000000004,3.44,3.44,161.4,2.9,27.6,6.9,0.4,0.0,12.0,28.7,0.99,0.46,0.03,0.06,0.3,0.08,0.0,23.5,6.8,2.0,1.7,1.5,0.0,0.24182599840000005,45.228396468,237.98303656,239.9614211994,5.7164634103999985,0.0,37.7314134,13.175342940000002,73.8928064,1.0775389672
"COCONUT SAMBOL, WITHOUT COCONUT OIL",Dessert,R,7.4,92.0,32.480000000000004,3.44,3.44,161.4,3.0,25.3,7.1,0.4,0.0,13.0,29.6,1.02,0.48,0.04,0.06,0.4,0.11,0.0,24.2,10.1,2.0,1.7,1.5,0.0,0.24182599840000005,45.228396468,237.98303656,239.9614211994,5.7164634103999985,0.0,47.062760399999995,19.7485776,89.17870880000001,2.0739351312
COCONUT TOFFEE,Snack,S,,110.0,66.0,9.98,23.36,769.0,6.034716872000001,6.438296967999999,54.008518220000006,20.850109744,17.276373292,74.39797972,15.061091611999998,1.671366926,0.6311757212,0.07177749359999999,0.03334420640000001,1.833180046,0.12039978120000001,0.045736576,16.605471956,1.3489044572,52.015542604000004,0.19186320080000002,4.4799999999999995,0.02,0.356491398,75.011893076,180.88109200000002,36.0989918638,7.2406116488,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.5510394956000001
"COCONUT WATER, BOTTLED, SWEETENED",Breakfast,S,0,92.0,31.48,3.6399999999999997,10.440000000000001,215.4,0.0,0.28,7.43,0.0,0.0,7.14,6.2,0.0,0.0,0.0,0.0,0.02,0.002,0.0,1.2,0.8,0.0,0.0,0.0,0.0,0.274390788,30.547418600000004,96.57,11.43,7.812313036000001,0.0,96.01467339999999,75.37456560000001,186.259719,0.546782275
"COCONUT WATER, FRESH, UNSWEETENED",Breakfast,S,0,92.0,32.480000000000004,3.44,3.44,161.4,0.3,0.2,3.2,0.0,0.0,27.0,18.2,0.06,0.04,0.01,0.01,0.0,0.06,0.0,10.9,0.6,0.0,0.5,0.2,0.0,0.0969083918,21.600724399999997,100.4029898,6.03151184,16.729404455999997,0.0,16.692174,94.6419036,41.729839,0.8106992399999999
COFFEE FLAVORED MILK DRINK,Breakfast,S,0,92.0,37.32000000000001,2.46,2.94,165.2,3.6,1.5,11.7,0.3,0.0,115.0,19.0,0.62,0.5,0.03,0.17,0.1,0.03,0.51,2.0,0.0,0.0,0.0,0.0,0.0,0.222074148,53.5861572,232.910822,57.94427800000001,0.5731933880000001,3.2,26.8221346,43.0005904,61.7543332,0.724285946
"COFFEE, BREWED",Breakfast,S,0,92.0,38.480000000000004,2.44,4.4399999999999995,185.4,0.2,0.0,0.3,0.0,0.0,3.0,8.0,0.1,0.0,0.0,0.01,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01381657,1.181587584,13.0131568,0.10973231079999998,0.036703375999999996,0.0,5.86598348,9.92655538,10.22022586,0.6068773860000001
"COFFEE, MADE FROM INSTANT COFFEE POWDER",Breakfast,S,0,92.0,38.480000000000004,2.44,4.4399999999999995,284.4,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004154693,0.3234013,3.3249038,0.014035937200000001,0.0071585364,0.0,1.35692272,0.6333414,1.46627426,0.056670016000000004
COLA,Breakfast,S,0,92.0,38.480000000000004,2.44,4.4399999999999995,284.4,0.0,0.0,10.9,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01381657,1.381587584,32.727156799999996,8.7795359332,0.036703375999999996,0.0,6.02198348,9.92655538,10.22022586,3.0668773860000003
"COOLING DRINK,CHINESE,INFUSION",Breakfast,S,,92.0,32.480000000000004,3.44,3.44,161.4,0.0,0.0,0.0,0.0,0.0,3.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004154693,0.3234013,3.3249038,0.014035937200000001,0.0071585364,0.0,1.35692272,0.6333414,1.46627426,0.056670016000000004
"COWPEAS, WHOLE, BOILED",Dessert,R,6.1,92.0,35.32000000000001,3.2599999999999993,1.54,159.2,10.8,0.6,29.1,24.2,0.0,44.0,118.3,3.16,1.82,0.11,0.03,0.5,0.1,0.0,123.1,0.0,1.0,0.4,1.0,0.6,1.0190091612,113.68104094,447.97541498,2220.8237926740003,70.0964781458,0.0,134.745516,211.143622,523.44922,0.8453944095999999
"COWPEAS, WHOLE, BOILED & TEMPERED",Dessert,R,4.813622952,92.0,41.32000000000001,2.2600000000000002,2.54,183.2,8.102856636,5.252151966,22.42178345,17.79558563,0.0,30.93433952,62.44643021,1.69558692,1.21915102,0.133684009,0.0377925,0.506788015,0.094097994,0.0,55.43204498,2.761360407,2.400935173,0.29261899,2.42,0.39999999999999997,0.685205996,138.3327484,387.3774109,5.692287922,8.675303459,0.0,111.364166,85.51660960000001,267.23474999999996,1.072144032
"COWPEAS, WHOLE, BOILED & TEMPERED, W/ COCONUT MILK",Dessert,R,4.5927649,92.0,41.32000000000001,2.2600000000000002,2.54,183.2,7.929451,11.304261,22.147497,15.90982,0.0,59.333275,58.09729,2.9715126,1.3496569,0.125539,0.035624001,0.75608188,0.097002998,0.0,52.35326,2.4469323,6.4738159,0.31406599,1.24,0.54,0.58348703,123.43944,379.70923,5.371489,7.5214911,19.2,134.0645,31.49292,234.1705,0.84789199
"COWPEAS, WHOLE, BOILED, W/ COCONUT MILK",Dessert,R,8.4,92.0,43.92,4.86,9.14,262.2,13.9,4.7,38.2,30.5,0.0,67.0,145.9,4.48,2.3,0.15,0.06,0.9,0.14,0.0,152.5,2.5,37.0,0.5,1.2,0.5,0.648336108,137.610782,535.3532459999999,3898.0529,200.058838,0.0,99.177728,182.814302,444.419616,0.8453944095999999
"CRAB, BOILED",Dessert,R,0,92.0,32.480000000000004,3.44,3.44,161.4,19.5,5.5,0.0,0.0,72.0,0.0,58.0,1.6,5.5,0.7,0.86,5.1,0.16,4.2259202,20.0,0.0,0.0,0.0,3.0,14.2,1.0874968040000002,186.624618,296.040746,28.619074599999998,44.761329761999995,0.0,79.951298,314.26680799999997,149.05744199999998,2.9301152004
"CRAB, TEMPERED",Dessert,R,1.046944,106.0,41.32000000000001,4.46,8.34,376.4,7.923645,5.094871,1.564873,0.31004101,11.237664,170.15363,45.711544,0.74069101,1.567281,0.033622641,0.044207249,0.59205902,0.077919573,2.6159809,7.0307074,2.6063035,16.797201,0.026907001,1.0,0.16,0.80764699,104.12305,182.5146,153.44958,18.814703,22.4,23.28,1036.107938,33.670002,0.12879026379999997
"CRAB, TEMPERED, W/ COCONUT MILK",Dessert,R,1.36043,106.0,41.32000000000001,4.46,8.34,376.4,9.6044359,13.94131,4.2170329,0.53485501,12.2854,197.24657,52.262646,1.93294,2.0232179,0.040808201,0.043582853,0.93083948,0.088485874,2.85988,12.798814,2.5019805,16.195127,0.062613003,0.9,0.1,0.857952,115.28979,211.0631,167.35074,20.794115,22.4,76.528648,1081.4707620000001,49.116534,0.21022052759999998
CREAM BUN,Breakfast,S,,100.0,40.0,4.0,15.0,300.0,5.3843307212000004,6.565710923799999,51.82753407599999,17.4100003642,8.638186646,58.97659453,19.904670262,2.4211525876,0.5736974266,0.084931871,0.0631084368,1.2614960832,0.1424878382,0.0241652856,24.387046852,1.0744522285999998,27.3566817232,0.12456033819999998,4.6,0.02,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
CREAM CRACKER BISCUIT,Breakfast,S,,8.4,6.0,0.9,1.2,37.0,5.702760601,12.896095401,16.166682739200002,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
CREAM SODA,Breakfast,S,0,92.0,38.480000000000004,2.44,4.4399999999999995,284.4,0.0,0.0,13.3,0.0,0.0,5.0,1.0,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01381657,1.381587584,32.727156799999996,8.7795359332,0.036703375999999996,0.0,6.02198348,9.92655538,10.22022586,3.0668773860000003
"CRISPS, MAIZE PUFF",Breakfast,S,2.2,86.0,48.239999999999995,3.8200000000000003,10.1,280.8,5.76,35.8,54.1,9.24,4.0,58.0,20.0,1.1,0.6,0.155,0.2,5.74,0.064,0.0,180.0,0.0,0.0,0.30000000000000004,1.06,0.16,0.374,108.0,197.0,896.0,3.0,0.0,5.51,10.4,18.6,0.488584842
"CRISPS, POTATO",Breakfast,S,3.1,86.0,60.839999999999996,4.220000000000001,5.1,281.8,6.39,33.95,53.83,8.18,0.0,21.0,63.0,1.28,1.09,0.213,0.088,4.762,0.531,0.0,29.0,21.6,0.0,10.45,0.74,0.08,0.8465163950000001,127.68479830999999,302.75020166,14.592042277200003,4.808129457599999,7.8,236.7607348,218.79001,351.75402199999996,1.115268623
CUCUMBER & TOMATO SALAD,Dessert,R,2.1,92.0,32.480000000000004,3.44,3.44,161.4,0.8,0.2,4.0,0.5,0.0,16.0,20.1,0.44,0.18,0.03,0.02,0.4,0.07,0.0,16.6,11.8,35.0,0.1,3.5,0.5,0.3304241472,57.24502527,216.46102236000002,12.221901072000001,5.393561306800001,0.0,40.0341008,19.871040800000003,110.3928126,1.5885069837999999
CUCUMBER FLESH,Breakfast,S,,50.0,1.5,0.3,0.05,6.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.0771280702,0.07504621040000001,1.3625114536,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
CUCUMBER SALAD,Dessert,R,2.3,100.0,7.0,1.0,0.0,35.0,0.9,0.2,4.2,0.6,0.0,17.0,21.9,0.49,0.19,0.03,0.01,0.4,0.07,0.0,17.3,10.0,2.0,0.0,3.3,0.4,0.2633302,36.4814376,235.71119399999998,3.799566,120.3732152,0.0,35.9480706,19.7795392,71.69689639999999,2.7298021912
"CUCUMBER, RAW, PLAIN",Breakfast,S,2.1,92.0,32.480000000000004,3.44,3.44,161.4,0.8,0.2,2.8,0.6,0.0,19.0,18.5,0.59,0.19,0.02,0.01,0.3,0.07,0.0,14.7,6.2,1.0,0.0,2.1,0.9,0.2384134,33.0814376,213.71119399999998,31.999565999999998,3.3452151999999997,0.0,35.9480706,19.7795392,71.6968964,2.4722366
"CUCUMBER, W/ COCONUT MILK",Dessert,R,2.9,92.0,32.480000000000004,3.44,3.44,161.4,1.8,11.2,7.2,1.9,0.0,28.0,28.4,1.02,0.26,0.02,0.01,0.3,0.05,0.0,20.2,4.3,25.0,0.1,0.8,0.1,0.33928154720000003,72.02298766999999,249.15190435999997,19.822970050000002,9.2316601608,0.0,67.2595704,22.876006,143.6111446,1.3833165949999997
CURD RICE,Dessert,R,1,86.0,39.4,5.0,11.0,259.0,6.2,4.0,24.6,23.1,0.0,23.0,10.5,0.33,0.51,0.01,0.04,1.1,0.03,0.34929839,4.8,0.6,55.0,0.2,0.8,0.2,0.338358596,42.287762328,357.03772848,10.022579924,3.0517012424,7.8,49.1580072,32.8858132,66.346768,4.0389173858
"CURD, COW'S MILK, PLAIN, UNSWEETENED",Breakfast,S,0,106.0,43.32,3.6599999999999993,9.74,371.0,3.1,4.0,3.0,0.0,0.0,149.0,0.0,0.2,0.0,0.05,0.16,0.1,0.0,0.43,12.5,1.0,31.0,0.0,0.0,0.0,0.3259967996,101.63673286000001,263.85175334,100.08354399999999,1.355273998,3.2,10.517479199999999,34.51682,27.921582,1.3869216
"CUSTARD APPLE, RAW",Breakfast,S,5.1,92.0,37.32000000000001,2.46,2.94,165.2,1.6,0.7,20.4,0.3,0.0,28.0,38.5,0.42,0.22,0.13,0.09,0.7,0.07,0.0,7.6,21.5,0.0,0.2,0.8,0.5,0.414155992,62.1731932,549.622606,16.97701696,3.2165079979999995,0.0,40.0265176,21.286703199999998,138.21430999999998,1.297146775
CUSTARD CREAM BISCUIT,Breakfast,S,,12.0,9.0,0.6,2.0,54.0,5.702760601,12.896095401,16.166682739200002,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"CUTTLE FISH, FRESH, W/ COCONUT MILK",Dessert,R,1.1,92.0,32.480000000000004,3.44,3.44,161.4,9.7,11.3,4.2,1.8,58.3,49.0,10.9,2.75,0.76,0.02,0.21,3.5,0.2,0.65455002,10.2,1.9,44.0,0.1,0.6,0.1,0.6818681954000001,84.71349219999999,238.76870546,46.698170898,97.05753379400001,7.8,659.6593661999999,1099.86389556,299.59336179999997,0.48278979099999997
